slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,white_thresh,black_thresh,use_padding,contour_fn
TCGA-02-0047-01A-01-BS1.d6cf2938-e26c-47fe-8c47-ea96462f0845.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-02-0058-01A-01-TS1.205d82b6-3bfa-479b-a2b9-68d4ef1fea9a.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-02-0079-01A-01-BS1.e873adab-8379-44ea-969b-5fdebcea48eb.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-02-0115-01A-01-TS2.c6b2d8fa-04fd-45da-bad4-78a1904000b4.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-02-0330-01A-01-BS1.46c1ee66-a238-4486-9893-422075c35489.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-02-0451-01A-01-TS1.32c1fc60-a1be-4180-aef0-a35e0f42b53f.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-06-0152-01A-02-BS2.ed7867ce-26bb-4ec4-ac8b-33c7f12bb528.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-06-0744-01A-01-BS1.7a7c0995-bb19-4f2e-bf22-dd00a28a041f.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-06-0747-01A-01-TS1.42c0c5ec-c984-400b-bf40-9f65747c7ece.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-06-0882-01A-01-TS1.bad6b386-eac5-4f5d-ab1b-9a169fbed9a0.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-08-0348-01A-01-TS1.261408ff-d67c-4db2-a273-64797593f9e3.svs,0,processed,1,8,7,4,False,100,16,8,1,250,5,40,True,four_pt
TCGA-08-0358-01A-01-TS1.3633efa6-dd5f-4218-8753-6f2d6f9e863f.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-08-0359-01A-01-BS1.27af31ba-b1af-4ab2-b8dc-da48097c1ce3.svs,0,processed,1,8,7,4,False,100,16,8,1,250,5,40,True,four_pt
TCGA-08-0360-01A-01-TS1.7a339a09-fa8d-4410-9b2b-4d29faf05b08.svs,0,processed,1,8,7,4,False,100,16,8,1,250,5,40,True,four_pt
TCGA-08-0522-01A-01-BS1.040eb751-66bd-42f1-a46b-005281080794.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-14-1452-01A-01-TS1.adf91ad5-d245-4f78-9c47-b2ee4799ea14.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-14-1795-01A-01-TS1.93f081f9-29c4-4179-a827-35b100ac77c1.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-26-5134-01A-01-TS1.4e904129-617f-4115-acef-1271c32cd5d0.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-41-2572-01A-01-TS1.67fd82a9-571b-4744-a1a2-44565c43e384.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
TCGA-41-2575-01A-01-TS1.3a91a293-a753-48bf-8783-4293b78e02a5.svs,0,processed,2,8,7,4,False,100,16,8,2,250,5,40,True,four_pt
